AT1G79840,1284,517,1013,467,883,439
AT4G11390,0,0,9,0,0,0
AT4G01940,3607,3977,3302,2070,3328,3653
AT5G09290,122,117,144,31,182,96
AT3G22723,0,0,0,0,0,0
AT1G19930,0,0,0,0,0,0
AT3G22720,0,0,0,1,0,0
AT1G67875,0,0,0,0,0,0
AT4G09316.1,0,0,0,0,0,0
AT1G67870,15085,20332,23018,5871,20234,15757
AT5G35400,134,207,112,115,115,146
AT5G39245.1,0,0,0,0,0,0
AT3G26030,2548,2320,1725,642,2361,3251
AT1G18040,1090,1127,986,810,989,1145
AT4G00090,1127,1375,1179,406,1336,1192
AT4G04010.1,0,0,0,0,0,0
AT4G05634.1,0,0,0,0,0,0
AT5G14430,4830,4275,4803,1895,4531,4226
AT5G10950,330,615,838,325,654,501
AT4G16015,0,12,4,22,2,31
AT2G16010.1,0,0,0,0,0,0
AT2G23520,569,930,890,393,833,946
AT2G18120,110,33,84,67,197,165
AT1G26620,577,676,852,343,1058,709
AT2G27230,1542,1436,1667,600,1928,2239
AT1G52942,0,0,0,0,0,0
AT1G52940,0,0,0,0,0,0
AT3G30765.1,0,0,0,0,0,0
AT4G17940,819,1266,812,366,943,1074
AT5G47210,19368,19973,19691,9263,20366,24396
AT2G19830,2866,2930,3430,1862,3118,2964
AT1G32049,4,4,0,0,0,2
AT1G80260,1379,1774,1768,763,1819,2014
AT5G42360,331,505,854,329,809,710
AT2G47844,35,23,0,8,18,22
AT2G47840,4329,3903,3781,2790,3852,4411
AT1G77820.1,0,0,0,0,0,0
AT5G01090,731,1031,917,337,1047,1151
AT3G24760,556,906,445,190,512,714
AT5G40290,0,18,0,0,0,0
AT3G30335.1,0,0,0,0,0,0
AT5G34858.1,0,0,0,0,0,0
AT3G20860,495,986,880,405,987,760
AT1G54360,5975,5608,6027,4685,6159,5877
AT1G12120,2876,2953,2668,1413,3086,2923
AT3G20865,26,67,8,42,48,33
AT1G28600,987,1159,5307,970,3469,1857
AT1G23390,20100,13784,2152,4094,10938,12302
AT4G06496.1,0,0,0,0,0,0
AT3G46700,1112,1304,2675,48,4287,2024
AT1G29990,1224,1294,872,441,1381,1269
AT5G07730,563,364,376,111,548,594
AT3G27070,0,0,60,0,42,23
AT3G15550,475,1087,793,333,704,961
AT1G51410,0,0,9,0,0,0
AT5G65110,3829,3830,2567,1207,3219,3459
AT5G53144,0,1,2,0,4,1
AT2G21960,6825,5651,5824,3440,7181,6445
AT5G62460,788,1560,2322,526,1035,991
